rank,i,j,k,x,y,z,weight,absolute_weight
1,8,8,8,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0006322691449268703,0.0006322691449268703
2,8,9,8,0.5294117647058824,0.5882352941176471,0.5294117647058824,5.544086590369618E-05,5.544086590369618E-05
3,8,8,9,0.5294117647058824,0.5294117647058824,0.5882352941176471,5.5440865903696176E-05,5.5440865903696176E-05
4,9,8,8,0.5882352941176471,0.5294117647058824,0.5294117647058824,5.544086590369617E-05,5.544086590369617E-05
5,9,8,9,0.5882352941176471,0.5294117647058824,0.5882352941176471,5.533154356229244E-05,5.533154356229244E-05
6,8,9,9,0.5294117647058824,0.5882352941176471,0.5882352941176471,5.533154356229244E-05,5.533154356229244E-05
7,9,9,8,0.5882352941176471,0.5882352941176471,0.5294117647058824,5.5331543562292435E-05,5.5331543562292435E-05
8,9,9,9,0.5882352941176471,0.5882352941176471,0.5882352941176471,5.523976762912605E-05,5.523976762912605E-05
9,8,8,7,0.5294117647058824,0.5294117647058824,0.47058823529411764,5.370869902268038E-05,5.370869902268038E-05
10,8,7,8,0.5294117647058824,0.47058823529411764,0.5294117647058824,5.370869902268037E-05,5.370869902268037E-05
11,7,8,8,0.47058823529411764,0.5294117647058824,0.5294117647058824,5.3708699022680364E-05,5.3708699022680364E-05
12,8,7,9,0.5294117647058824,0.47058823529411764,0.5882352941176471,5.3567615263139255E-05,5.3567615263139255E-05
13,9,7,8,0.5882352941176471,0.47058823529411764,0.5294117647058824,5.356761526313925E-05,5.356761526313925E-05
14,7,9,8,0.47058823529411764,0.5882352941176471,0.5294117647058824,5.356761526313925E-05,5.356761526313925E-05
15,7,8,9,0.47058823529411764,0.5294117647058824,0.5882352941176471,5.356761526313925E-05,5.356761526313925E-05
16,8,9,7,0.5294117647058824,0.5882352941176471,0.47058823529411764,5.356761526313924E-05,5.356761526313924E-05
17,9,8,7,0.5882352941176471,0.5294117647058824,0.47058823529411764,5.3567615263139235E-05,5.3567615263139235E-05
18,9,7,9,0.5882352941176471,0.47058823529411764,0.5882352941176471,5.34437341226952E-05,5.34437341226952E-05
19,7,9,9,0.47058823529411764,0.5882352941176471,0.5882352941176471,5.34437341226952E-05,5.34437341226952E-05
20,9,9,7,0.5882352941176471,0.5882352941176471,0.47058823529411764,5.344373412269519E-05,5.344373412269519E-05
21,8,10,8,0.5294117647058824,0.6470588235294118,0.5294117647058824,5.315689360848334E-05,5.315689360848334E-05
22,8,8,10,0.5294117647058824,0.5294117647058824,0.6470588235294118,5.315689360848334E-05,5.315689360848334E-05
23,10,8,8,0.6470588235294118,0.5294117647058824,0.5294117647058824,5.3156893608483336E-05,5.3156893608483336E-05
24,10,8,9,0.6470588235294118,0.5294117647058824,0.5882352941176471,5.3066945865513615E-05,5.3066945865513615E-05
25,8,10,9,0.5294117647058824,0.6470588235294118,0.5882352941176471,5.3066945865513615E-05,5.3066945865513615E-05
26,9,8,10,0.5882352941176471,0.5294117647058824,0.6470588235294118,5.3066945865513615E-05,5.3066945865513615E-05
27,8,9,10,0.5294117647058824,0.5882352941176471,0.6470588235294118,5.3066945865513615E-05,5.3066945865513615E-05
28,10,9,8,0.6470588235294118,0.5882352941176471,0.5294117647058824,5.306694586551361E-05,5.306694586551361E-05
29,9,10,8,0.5882352941176471,0.6470588235294118,0.5294117647058824,5.306694586551361E-05,5.306694586551361E-05
30,10,9,9,0.6470588235294118,0.5882352941176471,0.5882352941176471,5.2993735261008794E-05,5.2993735261008794E-05
31,9,9,10,0.5882352941176471,0.5882352941176471,0.6470588235294118,5.2993735261008794E-05,5.2993735261008794E-05
32,9,10,9,0.5882352941176471,0.6470588235294118,0.5882352941176471,5.299373526100879E-05,5.299373526100879E-05
