method,n,iteration,absolute_residual,relative_residual
"CG",8,0,4.943422604414578,1
"CG",8,1,3.498080545985984,0.7076232047938055
"CG",8,2,1.6049850624932394,0.3246708183637698
"CG",8,3,0.6773078391397581,0.1370119233858154
"CG",8,4,0.19036723081926504,0.03850919616891811
"CG",8,5,0.032462563380863285,0.006566819383775433
"CG",8,6,0.009550918415907666,0.0019320457060212695
"CG",8,7,0.004922360213379786,0.0009957393100448295
"CG",8,8,0.002372836178045816,0.0004799986503130088
"CG",8,9,0.0004637618503452229,9.381391951622224E-05
"CG",8,10,0.00019780771990310608,4.001432524228451E-05
"CG",8,11,4.2434677807731526E-05,8.584068408360736E-06
"CG",8,12,6.092949112753042E-06,1.232536564305045E-06
"CG",8,13,8.864023805247988E-07,1.7930944842409856E-07
"CG",8,14,2.763653933221862E-07,5.590567819862016E-08
"CG",8,15,8.846252699015547E-08,1.7894995849870618E-08
"CG",8,16,1.581871058310136E-08,3.1999510964275896E-09
"Jacobi-CG",8,0,4.943422604414578,1
"Jacobi-CG",8,1,3.4980805459859785,0.7076232047938044
"Jacobi-CG",8,2,1.6049850624932338,0.3246708183637687
"Jacobi-CG",8,3,0.6773078391397568,0.1370119233858151
"Jacobi-CG",8,4,0.1903672308192626,0.03850919616891761
"Jacobi-CG",8,5,0.032462563380862335,0.0065668193837752405
"Jacobi-CG",8,6,0.00955091841590364,0.001932045706020455
"Jacobi-CG",8,7,0.004922360213364803,0.0009957393100417987
"Jacobi-CG",8,8,0.002372836178030358,0.00047999865030988177
"Jacobi-CG",8,9,0.0004637618503419058,9.381391951555122E-05
"Jacobi-CG",8,10,0.0001978077199030169,4.001432524226647E-05
"Jacobi-CG",8,11,4.2434677807732E-05,8.58406840836083E-06
"Jacobi-CG",8,12,6.092949112753188E-06,1.2325365643050745E-06
"Jacobi-CG",8,13,8.864023805249517E-07,1.793094484241295E-07
"Jacobi-CG",8,14,2.7636539332222546E-07,5.590567819862811E-08
"Jacobi-CG",8,15,8.846252699017574E-08,1.7894995849874717E-08
"Jacobi-CG",8,16,1.5818710583103772E-08,3.1999510964280776E-09
"Compact-symmetric(beta=0.12)",8,0,4.943422604414578,1
"Compact-symmetric(beta=0.12)",8,1,3.022893203710993,0.6114980339757898
"Compact-symmetric(beta=0.12)",8,2,1.2042371673996795,0.2436039286473851
"Compact-symmetric(beta=0.12)",8,3,0.34300603054270584,0.06938634585608651
"Compact-symmetric(beta=0.12)",8,4,0.018771333162423194,0.003797234156282736
"Compact-symmetric(beta=0.12)",8,5,0.003987821037329574,0.0008066923175389392
"Compact-symmetric(beta=0.12)",8,6,0.0007283859655234146,0.00014734446633653188
"Compact-symmetric(beta=0.12)",8,7,6.351257902412712E-05,1.284789590260988E-05
"Compact-symmetric(beta=0.12)",8,8,3.9793594552568115E-06,8.049806325890814E-07
"Compact-symmetric(beta=0.12)",8,9,2.364444982924253E-07,4.7830120386890555E-08
"Compact-symmetric(beta=0.12)",8,10,3.6108867410120796E-08,7.304426568320264E-09
"Screened-symmetric(length=2)",8,0,4.943422604414578,1
"Screened-symmetric(length=2)",8,1,3.8963413995266363,0.7881869933691534
"Screened-symmetric(length=2)",8,2,1.0163364725807387,0.20559368557184032
