matrix,scenario,method,n,unknowns,operator_nonzeros,undirected_edges,interactions_per_unknown,preconditioner_flops,memory_bytes,setup_ms,runtime_ms,preconditioner_ms,iterations,relative_residual,relative_solution_error
"benchmark","primary","CG",16,4096,33856,0,0,0,0,0,16.2837,0.1176,232,7.624087289648712E-09,4.803914373498767E-08
"benchmark","primary","Jacobi-PCG",16,4096,33856,0,0,4096,32768,0,3.4582,0.1118,48,6.769134400461526E-09,7.281463464231911E-09
"benchmark","primary","graph-coefficient-only-selection+weight-b8",16,4096,33856,16384,8,110592,753664,454.2236,3.4512,1.0691,34,7.532887309602297E-09,5.91669453622779E-09
"benchmark","primary","E0-compact-symmetric(beta=0.12)",16,4096,33856,14880,7.265625,101568,693504,1.6454,4.1792,1.2017,43,7.612529411866237E-09,6.344036186914112E-09
"benchmark","primary","two-level-geometric(Richardson-8)",16,4096,33856,0,0,84224,90816,5.7455,4.054,1.9476,30,9.164414353229454E-09,3.374624074231356E-09
"ablation","primary","graph-coefficient-only-selection+weight-b8",16,4096,33856,16384,8,110592,753664,304.3199,3.3944,1.0291,34,7.532887309602297E-09,5.91669453622779E-09
"ablation","primary","graph-Geometry-selection+weight-b8",16,4096,33856,16384,8,110592,753664,303.1362,3.3479,0.924,35,7.922638348412085E-09,7.379545000662444E-09
"ablation","primary","graph-Material-selection+weight-b8",16,4096,33856,16384,8,110592,753664,304.1951,3.1297,0.8688,33,6.633735779263426E-09,5.9496500712554874E-09
"ablation","primary","graph-Authority-selection+weight-b8",16,4096,33856,16384,8,110592,753664,301.9267,3.1982,0.8524,34,7.053428820701697E-09,5.730994767478775E-09
"ablation","primary","graph-Geometry+Material-selection+weight-b8",16,4096,33856,16384,8,110592,753664,302.7069,3.645,1.0114,37,8.234127813422942E-09,4.1009450939269554E-09
"ablation","primary","graph-Geometry+Authority-selection+weight-b8",16,4096,33856,16384,8,110592,753664,302.0504,2.6513,0.9796,36,5.310866362241242E-09,5.043040559386225E-09
